Country Name,Athlete,Gender,Event,Medal
USSR-Prior 1992,"PROVIDOKHINA, Tatiana",Women,800M,Bronze
USSR-Prior 1992,"OLIZARENKO, Nadezhda",Women,800M,Gold
USSR-Prior 1992,"MINEEVA, Olga",Women,800M,Silver
USSR-Prior 1992,"ZHELANOV, Sergei",Men,Decathlon,Bronze
United Kingdom,"THOMPSON, Daley",Men,Decathlon,Gold
USSR-Prior 1992,"KUTSENKO, Yuri",Men,Decathlon,Silver
Cuba,"DELIS, Luis",Men,Discus Throw,Bronze
USSR-Prior 1992,"RASHCHUPKIN, Viktor",Men,Discus Throw,Gold
Czechoslovakia- Prior 1992,"BUGAR, Imrich",Men,Discus Throw,Silver
USSR-Prior 1992,"LESOVAIA, Tatiana",Women,Discus Throw,Bronze
East Germany-Prior 1992,"SCHLAAK-JAHL, Evelin",Women,Discus Throw,Gold
Bulgaria,"VERGOVA-PETKOVA, Maria",Women,Discus Throw,Silver
USSR-Prior 1992,"TAMM, Yuri",Men,Hammer Throw,Bronze
USSR-Prior 1992,"SEDYKH, Yuri",Men,Hammer Throw,Gold
USSR-Prior 1992,"LITVINOV, Sergei",Men,Hammer Throw,Silver
East Germany-Prior 1992,"FREIMUTH, Jörg",Men,High Jump,Bronze
East Germany-Prior 1992,"WESSIG, Gerd",Men,High Jump,Gold
Poland,"WSZOLA, Jacek",Men,High Jump,Silver
East Germany-Prior 1992,"KIRST, Jutta",Women,High Jump,Bronze
Italy,"SIMEONI, Sara",Women,High Jump,Gold
Poland,"KIELAN, Urszula",Women,High Jump,Silver
East Germany-Prior 1992,"HANISCH, Wolfgang",Men,Javelin Throw,Bronze
USSR-Prior 1992,"KULA, Dainis",Men,Javelin Throw,Gold
USSR-Prior 1992,"MAKAROV, Aleksandr",Men,Javelin Throw,Silver
East Germany-Prior 1992,"HOMMOLA, Ute",Women,Javelin Throw,Bronze
Cuba,"COLON, Maria",Women,Javelin Throw,Gold
USSR-Prior 1992,"GUNBA, Saida",Women,Javelin Throw,Silver
USSR-Prior 1992,"PODLUZHNYI, Valeri",Men,Long Jump,Bronze
East Germany-Prior 1992,"DOMBROWSKI, Lutz",Men,Long Jump,Gold
East Germany-Prior 1992,"PASCHEK, Frank",Men,Long Jump,Silver
USSR-Prior 1992,"SKACHKO, Tatiana",Women,Long Jump,Bronze
USSR-Prior 1992,"KOLPAKOVA, Tatiana",Women,Long Jump,Gold
East Germany-Prior 1992,"WUJAK, Brigitte",Women,Long Jump,Silver
USSR-Prior 1992,"DZHUMANAZAROV, Setymkul",Men,Marathon,Bronze
East Germany-Prior 1992,"CIERPINSKI, Waldemar",Men,Marathon,Gold
Netherlands,"NIJBOER, Gerard",Men,Marathon,Silver
USSR-Prior 1992,"KURAGINA, Olga",Women,Pentathlon,Bronze
USSR-Prior 1992,"TKACHENKO, Nadezhda",Women,Pentathlon,Gold
USSR-Prior 1992,"RUKAVISHNIKOVA, Olga",Women,Pentathlon,Silver
Poland,"KOZAKIEWICZ, Wladyslaw",Men,Pole Vault,Gold
Poland,"SLUSARSKI, Tadeusz",Men,Pole Vault,Silver
USSR-Prior 1992,"VOLKOV, Konstantin",Men,Pole Vault,Silver
East Germany-Prior 1992,"BEYER, Udo",Men,Shot Put,Bronze
USSR-Prior 1992,"KISELEV, Vladimir",Men,Shot Put,Gold
USSR-Prior 1992,"BARYSHNIKOV, Aleksandr",Men,Shot Put,Silver
East Germany-Prior 1992,"DROESE-PUFE, Margitta",Women,Shot Put,Bronze
East Germany-Prior 1992,"SCHOKNECHT-SLUPIANEK, Ilona",Women,Shot Put,Gold
USSR-Prior 1992,"KRACHEVSKAIA, Svetlana",Women,Shot Put,Silver
Brazil,"DE OLIVEIRA, Joao Carlos",Men,Triple Jump,Bronze
USSR-Prior 1992,"UUDMAE, Yaak",Men,Triple Jump,Gold
USSR-Prior 1992,"SANEEV, Viktor",Men,Triple Jump,Silver
Kenya,"MUSYOKI, Michael",Men,10000M,Bronze
Italy,"COVA, Alberto",Men,10000M,Gold
United Kingdom,"MCLEOD, Michael",Men,10000M,Silver
Canada,"JOHNSON, Ben",Men,100M,Bronze
United States,"LEWIS, Carl",Men,100M,Gold
United States,"GRADDY, Samuel Louis",Men,100M,Silver
Jamaica,"OTTEY-PAGE, Merlene",Women,100M,Bronze
United States,"ASHFORD, Evelyn",Women,100M,Gold
United States,"BROWN, Alice Regina",Women,100M,Silver
France,"CHARDONNET, Michele",Women,100M Hurdles,Bronze
United States,"TURNER, Kim",Women,100M Hurdles,Bronze
United States,"FITZGERALD-BROWN, Benita",Women,100M Hurdles,Gold
United Kingdom,"STRONG, Shirley",Women,100M Hurdles,Silver
Finland,"BRYGGARE, Arto",Men,110M Hurdles,Bronze
United States,"KINGDOM, Roger",Men,110M Hurdles,Gold
United States,"FOSTER, Gregory",Men,110M Hurdles,Silver
Spain,"ABASCAL GOMEZ, Jose Manuel",Men,1500M,Bronze
United Kingdom,"COE, Sebastian",Men,1500M,Gold
United Kingdom,"CRAM, Stephen",Men,1500M,Silver
Romania,"PUICA, Maricica",Women,1500M,Bronze
Italy,"DORIO, Gabriella",Women,1500M,Gold
Romania,"BESLIU-MELINTE, Doina",Women,1500M,Silver
United States,"JEFFERSON, Thomas Theodore",Men,200M,Bronze
United States,"LEWIS, Carl",Men,200M,Gold
United States,"BAPTISTE, Kirk",Men,200M,Silver
Jamaica,"OTTEY-PAGE, Merlene",Women,200M,Bronze
United States,"BRISCO-HOOKS, Valerie Ann",Women,200M,Gold
United States,"GRIFFITH-JOYNER, Florence",Women,200M,Silver
Italy,"DAMILANO, Maurizio",Men,20KM Walk,Bronze
Mexico,"CANTO GUDINO, Ernesto",Men,20KM Walk,Gold
Mexico,"GONZALEZ, Raul",Men,20KM Walk,Silver
Canada,"WILLIAMS, Lynn",Women,3000M,Bronze
Romania,"PUICA, Maricica",Women,3000M,Gold
United Kingdom,"SLY, Wendy",Women,3000M,Silver
United States,"DIEMER, Brian Lee",Men,3000M Steeplechase,Bronze
Kenya,"KORIR, Julius",Men,3000M Steeplechase,Gold
France,"MAHMOUD, Joseph",Men,3000M Steeplechase,Silver
United States,"MCKAY, Antonio Ricardo",Men,400M,Bronze
United States,"BABERS, Alonzo C.",Men,400M,Gold
Cote d'Ivoire,"TIACOH, Gabriel",Men,400M,Silver
United Kingdom,"SMALLWOOD-COOK, Kathryn",Women,400M,Bronze
United States,"BRISCO-HOOKS, Valerie Ann",Women,400M,Gold
United States,"CHEESEBOROUGH, Chandra Danette",Women,400M,Silver
Germany- Prior 1990,"SCHMID, Harald",Men,400M Hurdles,Bronze
United States,"MOSES, Edwin",Men,400M Hurdles,Gold
United States,"HARRIS, Daniel Lee",Men,400M Hurdles,Silver
Romania,"COJOCARU, Cristina",Women,400M Hurdles,Bronze
Morocco,"EL MOUTAWAKEL, Nawal",Women,400M Hurdles,Gold
United States,"BROWN, Judith Lynne",Women,400M Hurdles,Silver
Portugal,"LEITAO, Antonio",Men,5000M,Bronze
Morocco,"AOUITA, Said",Men,5000M,Gold
Switzerland,"RYFFEL, Markus",Men,5000M,Silver
Italy,"BELLUCCI, Sandro",Men,50KM Walk,Bronze
Mexico,"GONZALEZ, Raul",Men,50KM Walk,Gold
Sweden,"GUSTAFSSON, Bo",Men,50KM Walk,Silver
United States,"JONES, Earl",Men,800M,Bronze
Brazil,"CRUZ, Joaquim",Men,800M,Gold
United Kingdom,"COE, Sebastian",Men,800M,Silver
Romania,"LOVIN, Fita",Women,800M,Bronze
Romania,"BESLIU-MELINTE, Doina",Women,800M,Gold
United States,"GALLAGHER, Kimberley Ann",Women,800M,Silver
Germany- Prior 1990,"WENTZ, Siegfried",Men,Decathlon,Bronze
United Kingdom,"THOMPSON, Daley",Men,Decathlon,Gold
Germany- Prior 1990,"HINGSEN, Jurgen",Men,Decathlon,Silver
United States,"POWELL, John Gates",Men,Discus Throw,Bronze
Germany- Prior 1990,"DANNEBERG, Rolf",Men,Discus Throw,Gold
United States,"WILKINS, Malcolm Maurice",Men,Discus Throw,Silver
Romania,"TACU-CRAICIUNESCU, Florenta",Women,Discus Throw,Bronze
Netherlands,"STALMAN, Ria G.",Women,Discus Throw,Gold
United States,"DENIZ, Leslie Jean",Women,Discus Throw,Silver
Germany- Prior 1990,"PLOGHAUS, Klaus",Men,Hammer Throw,Bronze
Finland,"TIAINEN, Juha",Men,Hammer Throw,Gold
Germany- Prior 1990,"RIEHM, Karl-Hans",Men,Hammer Throw,Silver
Germany- Prior 1990,"EVERTS, Sabine",Women,Heptathlon,Bronze
Australia,"NUNN-SAUNDERS-CEARNS, Glyniss Leanne",Women,Heptathlon,Gold
United States,"JOYNER-KERSEE, Jackie",Women,Heptathlon,Silver
China,"ZHU, Jian-Hua",Men,High Jump,Bronze
Germany- Prior 1990,"MÖGENBURG, Dietmar",Men,High Jump,Gold
Sweden,"SJÖBERG, Patrick",Men,High Jump,Silver
United States,"HUNTLEY, Johanna Luann",Women,High Jump,Bronze
Germany- Prior 1990,"MEYFARTH, Ulrike",Women,High Jump,Gold
Italy,"SIMEONI, Sara",Women,High Jump,Silver
Sweden,"ELDEBRINK, Kenth",Men,Javelin Throw,Bronze
Finland,"HARKONEN, Arto",Men,Javelin Throw,Gold
United Kingdom,"OTTLEY, David",Men,Javelin Throw,Silver
United Kingdom,"WHITBREAD, Fatima",Women,Javelin Throw,Bronze
United Kingdom,"SANDERSON, Teresa",Women,Javelin Throw,Gold
Finland,"LILLAK, Kristiina",Women,Javelin Throw,Silver
Italy,"EVANGELISTI, Giovanni",Men,Long Jump,Bronze
United States,"LEWIS, Carl",Men,Long Jump,Gold
Australia,"HONEY, Gary",Men,Long Jump,Silver
United Kingdom,"HEARNSHAW, Susan",Women,Long Jump,Bronze
Romania,"CUSMIR-STANCIU, Anisoara",Women,Long Jump,Gold
Romania,"IONESCU, Valeria (Vali)",Women,Long Jump,Silver
United Kingdom,"SPEDDING, Charles",Men,Marathon,Bronze
Portugal,"LOPES, Carlos",Men,Marathon,Gold
Ireland,"TREACY, John",Men,Marathon,Silver
Portugal,"MOTA, Rosa",Women,Marathon,Bronze
United States,"BENOIT, Joan",Women,Marathon,Gold
Norway,"WAITZ-ANDERSEN, Grete",Women,Marathon,Silver
United States,"BELL, Earl Holmes",Men,Pole Vault,Bronze
France,"VIGNERON, Thierry",Men,Pole Vault,Bronze
France,"QUINON, Pierre",Men,Pole Vault,Gold
United States,"TULLY, Michael Scott",Men,Pole Vault,Silver
United States,"LAUT, David Lester",Men,Shot Put,Bronze
Italy,"ANDREI, Alessandro",Men,Shot Put,Gold
United States,"CARTER, Michael D'Andrea",Men,Shot Put,Silver
Australia,"MULHALL-MARTIN, Gael",Women,Shot Put,Bronze
Germany- Prior 1990,"LOSCH, Claudia",Women,Shot Put,Gold
Romania,"LOGHIN, Mihaela",Women,Shot Put,Silver
United Kingdom,"CONNOR, Keith",Men,Triple Jump,Bronze
United States,"JOYNER, Alfredrick Alphonzo",Men,Triple Jump,Gold
United States,"CONLEY, Mike",Men,Triple Jump,Silver
Kenya,"KIMELI, Kipkemboi",Men,10000M,Bronze
Morocco,"BOUTAYEB, Moulay Brahim",Men,10000M,Gold
Italy,"ANTIBO, Salvatore",Men,10000M,Silver
USSR-Prior 1992,"ZHUPEEVA, Elena",Women,10000M,Bronze
USSR-Prior 1992,"BONDARENKO, Olga",Women,10000M,Gold
United Kingdom,"MCCOLGAN-LYNCH, Elizabeth",Women,10000M,Silver
United States,"SMITH, Calvin",Men,100M,Bronze
United States,"LEWIS, Carl",Men,100M,Gold
United Kingdom,"CHRISTIE, Linford",Men,100M,Silver
East Germany-Prior 1992,"DRECHSLER, Heike",Women,100M,Bronze
United States,"GRIFFITH-JOYNER, Florence",Women,100M,Gold
United States,"ASHFORD, Evelyn",Women,100M,Silver
Germany- Prior 1990,"ZACZKIEWICZ-REIDICK, Claudia",Women,100M Hurdles,Bronze
Bulgaria,"DONKOVA, Yordanka",Women,100M Hurdles,Gold
East Germany-Prior 1992,"SIEBERT, Gloria",Women,100M Hurdles,Silver
United States,"CAMPBELL, Anthony Eugene",Men,110M Hurdles,Bronze
United States,"KINGDOM, Roger",Men,110M Hurdles,Gold
United Kingdom,"JACKSON, Colin",Men,110M Hurdles,Silver
East Germany-Prior 1992,"HEROLD, Jens-Peter",Men,1500M,Bronze
Kenya,"RONO, Peter",Men,1500M,Gold
United Kingdom,"ELLIOTT, Peter",Men,1500M,Silver
USSR-Prior 1992,"SAMOLENKO-DOROVSKIKH, Tatyana",Women,1500M,Bronze
Romania,"IVAN, Paula",Women,1500M,Gold
USSR-Prior 1992,"BAIKAUSKAITE, Lailute",Women,1500M,Silver
Brazil,"DA SILVA, Robson",Men,200M,Bronze
United States,"DELOACH, Joseph Nathaniel Jr.",Men,200M,Gold
United States,"LEWIS, Carl",Men,200M,Silver
East Germany-Prior 1992,"DRECHSLER, Heike",Women,200M,Bronze
United States,"GRIFFITH-JOYNER, Florence",Women,200M,Gold
Jamaica,"JACKSON SMALL, Grace",Women,200M,Silver
Italy,"DAMILANO, Maurizio",Men,20KM Walk,Bronze
Czechoslovakia- Prior 1992,"PRIBILINEC, Jozef",Men,20KM Walk,Gold
East Germany-Prior 1992,"WEIGEL, Ronald",Men,20KM Walk,Silver
United Kingdom,"MURRAY, Yvonne",Women,3000M,Bronze
USSR-Prior 1992,"SAMOLENKO-DOROVSKIKH, Tatyana",Women,3000M,Gold
Romania,"IVAN, Paula",Women,3000M,Silver
United Kingdom,"ROWLAND, Mark Robert",Men,3000M Steeplechase,Bronze
Kenya,"KARIUKI, Julius",Men,3000M Steeplechase,Gold
Kenya,"KOECH, Peter",Men,3000M Steeplechase,Silver
United States,"EVERETT, Daniel",Men,400M,Bronze
United States,"LEWIS, Steve",Men,400M,Gold
United States,"REYNOLDS, Harry Butch .",Men,400M,Silver
USSR-Prior 1992,"NAZAROVA, Olga",Women,400M,Bronze
USSR-Prior 1992,"BRYZGINA, Olga",Women,400M,Gold
East Germany-Prior 1992,"MÜLLER, Petra",Women,400M,Silver
United States,"MOSES, Edwin",Men,400M Hurdles,Bronze
United States,"PHILLIPS, Andre Lamar",Men,400M Hurdles,Gold
Senegal,"DIA BA, El Hadji Amadou",Men,400M Hurdles,Silver
East Germany-Prior 1992,"FIEDLER, Ellen",Women,400M Hurdles,Bronze
Australia,"FLINTOFF-KING, Deborah",Women,400M Hurdles,Gold
USSR-Prior 1992,"LEDOVSKAYA, Tatiana",Women,400M Hurdles,Silver
East Germany-Prior 1992,"KUNZE, Hansjörg",Men,5000M,Bronze
Kenya,"NGUGI, John",Men,5000M,Gold
Germany- Prior 1990,"BAUMANN, Dieter",Men,5000M,Silver
East Germany-Prior 1992,"GAUDER, Hartwig",Men,50KM Walk,Bronze
USSR-Prior 1992,"IVANENKO, Vyacheslav",Men,50KM Walk,Gold
East Germany-Prior 1992,"WEIGEL, Ronald",Men,50KM Walk,Silver
Morocco,"AOUITA, Said",Men,800M,Bronze
Kenya,"ERENG, Paul",Men,800M,Gold
Brazil,"CRUZ, Joaquim",Men,800M,Silver
United States,"GALLAGHER, Kimberley Ann",Women,800M,Bronze
East Germany-Prior 1992,"WODARS, Sigrun",Women,800M,Gold
East Germany-Prior 1992,"WACHTEL, Christine",Women,800M,Silver
Canada,"STEEN, David",Men,Decathlon,Bronze
East Germany-Prior 1992,"SCHENK, Christian",Men,Decathlon,Gold
East Germany-Prior 1992,"VOSS, Torsten",Men,Decathlon,Silver
Germany- Prior 1990,"DANNEBERG, Rolf",Men,Discus Throw,Bronze
East Germany-Prior 1992,"SCHULT, Jürgen",Men,Discus Throw,Gold
USSR-Prior 1992,"UBARTAS, Romas",Men,Discus Throw,Silver
Bulgaria,"KHRISTOVA, Tzvetanka Pavlova",Women,Discus Throw,Bronze
East Germany-Prior 1992,"HELLMANN, Martina",Women,Discus Throw,Gold
East Germany-Prior 1992,"GANSKY, Diana",Women,Discus Throw,Silver
USSR-Prior 1992,"TAMM, Yuri",Men,Hammer Throw,Bronze
USSR-Prior 1992,"LITVINOV, Sergei",Men,Hammer Throw,Gold
USSR-Prior 1992,"SEDYKH, Yuri",Men,Hammer Throw,Silver
East Germany-Prior 1992,"BEHMER, Anke",Women,Heptathlon,Bronze
United States,"JOYNER-KERSEE, Jackie",Women,Heptathlon,Gold
East Germany-Prior 1992,"JOHN, Sabine",Women,Heptathlon,Silver
USSR-Prior 1992,"POVARNITSIN, Rudolf",Men,High Jump,Bronze
Sweden,"SJÖBERG, Patrick",Men,High Jump,Bronze
USSR-Prior 1992,"AVDEENKO, Gennadi",Men,High Jump,Gold
United States,"CONWAY, Hollis",Men,High Jump,Silver
USSR-Prior 1992,"BYKOVA, Tamara",Women,High Jump,Bronze
United States,"RITTER, Dorothy Louise",Women,High Jump,Gold
Bulgaria,"KOSTADINOVA, Stefka",Women,High Jump,Silver
Finland,"RATY, Seppo Henrik",Men,Javelin Throw,Bronze
Finland,"KORJUS, Tapio",Men,Javelin Throw,Gold
Czechoslovakia- Prior 1992,"ZELEZNY, Jan",Men,Javelin Throw,Silver
East Germany-Prior 1992,"KOCH, Beate",Women,Javelin Throw,Bronze
East Germany-Prior 1992,"FELKE-MEIER, Petra",Women,Javelin Throw,Gold
United Kingdom,"WHITBREAD, Fatima",Women,Javelin Throw,Silver
United States,"MYRICKS, Lawrence Ellwyne",Men,Long Jump,Bronze
United States,"LEWIS, Carl",Men,Long Jump,Gold
United States,"POWELL, Michael Anthony",Men,Long Jump,Silver
USSR-Prior 1992,"CHISTYAKOVA, Galina",Women,Long Jump,Bronze
United States,"JOYNER-KERSEE, Jackie",Women,Long Jump,Gold
East Germany-Prior 1992,"DRECHSLER, Heike",Women,Long Jump,Silver
Djibouti,"AHMED SALAH, Hussein",Men,Marathon,Bronze
Italy,"BORDIN, Gelindo",Men,Marathon,Gold
Kenya,"WAKIIHURI, Douglas",Men,Marathon,Silver
East Germany-Prior 1992,"DÖRRE, Katrin",Women,Marathon,Bronze
Portugal,"MOTA, Rosa",Women,Marathon,Gold
Australia,"MARTIN-ONDIEKI-O'DEA, Lisa",Women,Marathon,Silver
USSR-Prior 1992,"EGOROV, Grigori",Men,Pole Vault,Bronze
USSR-Prior 1992,"BUBKA, Sergey",Men,Pole Vault,Gold
USSR-Prior 1992,"GATAULLIN, Rodion",Men,Pole Vault,Silver
Switzerland,"GÜNTHÖR, Werner",Men,Shot Put,Bronze
East Germany-Prior 1992,"TIMMERMANN, Ulf",Men,Shot Put,Gold
United States,"BARNES, Eric Randolph",Men,Shot Put,Silver
China,"LI, Mei-Su",Women,Shot Put,Bronze
USSR-Prior 1992,"LISOVSKAYA, Natalya",Women,Shot Put,Gold
East Germany-Prior 1992,"NEIMKE, Kathrin",Women,Shot Put,Silver
USSR-Prior 1992,"KOVALENKO, Alexandre",Men,Triple Jump,Bronze
Bulgaria,"MARKOV, Kristo Gantchev",Men,Triple Jump,Gold
USSR-Prior 1992,"LAPSHIN, Igor",Men,Triple Jump,Silver
Ethiopia,"ABEBE, Addis",Men,10000M,Bronze
Morocco,"SKAH, Khalid",Men,10000M,Gold
Kenya,"CHELIMO, Richard",Men,10000M,Silver
United States,"JENNINGS, Lynn A.",Women,10000M,Bronze
Ethiopia,"TULU, Derartu",Women,10000M,Gold
South Africa,"MEYER, Elana",Women,10000M,Silver
China,"LI, Chunxiu",Women,10000M Walk,Bronze
China,"CHEN, Yueling",Women,10000M Walk,Gold
Europe Unified Team,"NIKOLAYEVA, Yelena",Women,10000M Walk,Silver
United States,"MITCHELL, Dennis",Men,100M,Bronze
United Kingdom,"CHRISTIE, Linford",Men,100M,Gold
Namibia,"FREDERICKS, Frank",Men,100M,Silver
Europe Unified Team,"PRIVALOVA, Irina",Women,100M,Bronze
United States,"DEVERS, Gail",Women,100M,Gold
Jamaica,"CUTHBERT, Juliet",Women,100M,Silver
Bulgaria,"DONKOVA, Yordanka",Women,100M Hurdles,Bronze
Greece,"PATOULIDOU, Paraskevi Voula",Women,100M Hurdles,Gold
United States,"MARTIN, La Vona Ann",Women,100M Hurdles,Silver
United States,"PIERCE, Jack",Men,110M Hurdles,Bronze
Canada,"MCKOY, Mark",Men,110M Hurdles,Gold
United States,"DEES, Tony",Men,110M Hurdles,Silver
Qatar,"SULAIMAN, Mohamed Ahmed",Men,1500M,Bronze
Spain,"CACHO RUIZ, Fermin",Men,1500M,Gold
Morocco,"EL BASIR, Rachid",Men,1500M,Silver
China,"QU, Yunxia",Women,1500M,Bronze
Algeria,"BOULMERKA, Hassiba",Women,1500M,Gold
Europe Unified Team,"ROGACHEVA, Liudmila",Women,1500M,Silver
United States,"BATES, Michael D.",Men,200M,Bronze
United States,"MARSH, Michael",Men,200M,Gold
Namibia,"FREDERICKS, Frank",Men,200M,Silver
Jamaica,"OTTEY-PAGE, Merlene",Women,200M,Bronze
United States,"TORRENCE, Gwen",Women,200M,Gold
Jamaica,"CUTHBERT, Juliet",Women,200M,Silver
Italy,"DE BENEDICTIS, Giovanni",Men,20KM Walk,Bronze
Spain,"PLAZA MONTERO, Daniel",Men,20KM Walk,Gold
Canada,"LEBLANC, Guillaume",Men,20KM Walk,Silver
Canada,"CHALMERS, Angela Frances",Women,3000M,Bronze
Europe Unified Team,"ROMANOVA, Elena",Women,3000M,Gold
Europe Unified Team,"DOROVSKIH, Tatiana",Women,3000M,Silver
Kenya,"MUTWOL, William",Men,3000M Steeplechase,Bronze
Kenya,"BIRIR, Mathew",Men,3000M Steeplechase,Gold
Kenya,"SANG, Patrick",Men,3000M Steeplechase,Silver
Kenya,"KITUR, Samson",Men,400M,Bronze
United States,"WATTS, Quincy",Men,400M,Gold
United States,"LEWIS, Steve",Men,400M,Silver
Colombia,"RESTREPO GAVIRIA, Ximena",Women,400M,Bronze
France,"PEREC, Marie-Jose",Women,400M,Gold
Europe Unified Team,"BRYZGINA, Olga",Women,400M,Silver
United Kingdom,"AKABUSI, Kriss Kezie Uche",Men,400M Hurdles,Bronze
United States,"YOUNG, Kevin Curtis",Men,400M Hurdles,Gold
Jamaica,"GRAHAM, Winthrop",Men,400M Hurdles,Silver
United States,"VICKERS, Janeene",Women,400M Hurdles,Bronze
United Kingdom,"GUNNELL, Sally Janet Jane",Women,400M Hurdles,Gold
United States,"FARMER-PATRICK, Sandra",Women,400M Hurdles,Silver
Ethiopia,"BAYISA, Fita",Men,5000M,Bronze
Germany,"BAUMANN, Dieter",Men,5000M,Gold
Kenya,"BITOK, Paul",Men,5000M,Silver
Germany,"WEIGEL, Ronald",Men,50KM Walk,Bronze
Europe Unified Team,"PERLOV, Andrey",Men,50KM Walk,Gold
Mexico,"MERCENARIO CARBAJAL, Carlos",Men,50KM Walk,Silver
United States,"GRAY, Johnny Lee Jr",Men,800M,Bronze
Kenya,"TANUI, William",Men,800M,Gold
Kenya,"KIPROTICH, Nixon",Men,800M,Silver
Cuba,"QUIROT, Ana Fidelia",Women,800M,Bronze
Netherlands,"VAN LANGEN, Ellen",Women,800M,Gold
Europe Unified Team,"NURUTDINOVA, Lilia",Women,800M,Silver
United States,"JOHNSON, David Allan",Men,Decathlon,Bronze
Czechoslovakia- Prior 1992,"ZMELIK, Robert",Men,Decathlon,Gold
Spain,"PENALVER ASENSIO, Antonio",Men,Decathlon,Silver
Cuba,"MOYA, Roberto S.",Men,Discus Throw,Bronze
Lithuania,"UBARTAS, Romas",Men,Discus Throw,Gold
Germany,"SCHULT, Jürgen",Men,Discus Throw,Silver
Australia,"COSTIAN, Daniela",Women,Discus Throw,Bronze
Cuba,"MARTEN, Maritza",Women,Discus Throw,Gold
Bulgaria,"KHRISTOVA, Tzvetanka Pavlova",Women,Discus Throw,Silver
Europe Unified Team,"NIKOULINE, Igor",Men,Hammer Throw,Bronze
Europe Unified Team,"ABDUVALIEV, Andrey",Men,Hammer Throw,Gold
Europe Unified Team,"ASTAPKOVICH, Igor",Men,Hammer Throw,Silver
Germany,"BRAUN, Sabine",Women,Heptathlon,Bronze
United States,"JOYNER-KERSEE, Jackie",Women,Heptathlon,Gold
Europe Unified Team,"BELOVA, Irina",Women,Heptathlon,Silver
United States,"CONWAY, Hollis",Men,High Jump,Bronze
Australia,"FORSYTH, Timothy",Men,High Jump,Bronze
Poland,"PARTYKA, Artur",Men,High Jump,Bronze
Cuba,"SOTOMAYOR, Javier",Men,High Jump,Gold
Sweden,"SJÖBERG, Patrick",Men,High Jump,Silver
Cuba,"QUINTERO, Joanet",Women,High Jump,Bronze
Germany,"HENKEL, Heike",Women,High Jump,Gold
Romania,"ASTAFEI, Galina",Women,High Jump,Silver
United Kingdom,"BACKLEY, Steve",Men,Javelin Throw,Bronze
Czechoslovakia- Prior 1992,"ZELEZNY, Jan",Men,Javelin Throw,Gold
Finland,"RATY, Seppo Henrik",Men,Javelin Throw,Silver
Germany,"FORKEL, Karen",Women,Javelin Throw,Bronze
Germany,"RENK, Silke",Women,Javelin Throw,Gold
Europe Unified Team,"SHIKOLENKO, Natalia",Women,Javelin Throw,Silver
United States,"GREENE, Joe",Men,Long Jump,Bronze
United States,"LEWIS, Carl",Men,Long Jump,Gold
United States,"POWELL, Michael Anthony",Men,Long Jump,Silver
United States,"JOYNER-KERSEE, Jackie",Women,Long Jump,Bronze
Germany,"DRECHSLER, Heike",Women,Long Jump,Gold
Europe Unified Team,"KRAVETS, Inessa",Women,Long Jump,Silver
Germany,"FREIGANG, Stephan Timo",Men,Marathon,Bronze
"Korea, South","HWANG, Young-Cho",Men,Marathon,Gold
Japan,"MORISHITA, Koichi",Men,Marathon,Silver
New Zealand,"MOLLER, Lorraine Mary",Women,Marathon,Bronze
Europe Unified Team,"YEGOROVA, Valentina",Women,Marathon,Gold
Japan,"ARIMORI, Yuko",Women,Marathon,Silver
Spain,"GARCIA CHICO, Javier",Men,Pole Vault,Bronze
Europe Unified Team,"TARASOV, Maksim",Men,Pole Vault,Gold
Europe Unified Team,"TRANDENKOV, Igor",Men,Pole Vault,Silver
Europe Unified Team,"LYKHO, Viatcheslav",Men,Shot Put,Bronze
United States,"STULCE, Michael D.",Men,Shot Put,Gold
United States,"DOEHRING, James",Men,Shot Put,Silver
Germany,"NEIMKE, Kathrin",Women,Shot Put,Bronze
Europe Unified Team,"KRIVELYOVA, Svetlana",Women,Shot Put,Gold
China,"HUANG, Zhihong",Women,Shot Put,Silver
Bahamas,"RUTHERFORD, Frank",Men,Triple Jump,Bronze
United States,"CONLEY, Mike",Men,Triple Jump,Gold
United States,"SIMPKINS, Charles",Men,Triple Jump,Silver
Morocco,"HISSOU, Salah",Men,10000M,Bronze
Ethiopia,"GEBRSELASSIE, Haile",Men,10000M,Gold
Kenya,"TERGAT, Paul",Men,10000M,Silver
Ethiopia,"WAMI, Gete",Women,10000M,Bronze
Portugal,"RIBEIRO, Fernanda",Women,10000M,Gold
China,"WANG, Junxia",Women,10000M,Silver
China,"WANG, Yan",Women,10000M Walk,Bronze
Russia,"NIKOLAYEVA, Yelena",Women,10000M Walk,Gold
Italy,"PERRONE, Elisabetta",Women,10000M Walk,Silver
Trinidad and Tobago,"BOLDON, Ato",Men,100M,Bronze
Canada,"BAILEY, Donovan",Men,100M,Gold
Namibia,"FREDERICKS, Frank",Men,100M,Silver
United States,"TORRENCE, Gwen",Women,100M,Bronze
United States,"DEVERS, Gail",Women,100M,Gold
Jamaica,"OTTEY-PAGE, Merlene",Women,100M,Silver
France,"GIRARD, Patricia",Women,100M Hurdles,Bronze
Sweden,"ENGQUIST, Ludmila",Women,100M Hurdles,Gold
Slovenia,"BUKOVEC, Brigitta",Women,100M Hurdles,Silver
Germany,"SCHWARTHOFF, Florian",Men,110M Hurdles,Bronze
United States,"JOHNSON, Allen",Men,110M Hurdles,Gold
